ID,quality
5811,6
5812,5
5813,6
5814,6
5815,6
5816,5
5817,6
5818,5
5819,5
5820,6
5821,7
5822,6
5823,6
5824,5
5825,6
5826,5
5827,6
5828,5
5829,8
5830,5
5831,5
5832,6
5833,5
5834,6
5835,6
5836,7
5837,5
5838,5
5839,5
5840,7
5841,6
5842,5
5843,6
5844,6
5845,5
5846,6
5847,6
5848,6
5849,6
5850,6
5851,5
5852,6
5853,6
5854,6
5855,6
5856,6
5857,6
5858,6
5859,6
5860,6
5861,6
5862,6
5863,6
5864,6
5865,5
5866,5
5867,5
5868,6
5869,5
5870,6
5871,6
5872,6
5873,6
5874,6
5875,6
5876,6
5877,6
5878,6
5879,6
5880,5
5881,6
5882,6
5883,6
5884,6
5885,6
5886,6
5887,8
5888,6
5889,6
5890,6
5891,5
5892,5
5893,6
5894,6
5895,6
5896,6
5897,5
5898,6
5899,5
5900,6
5901,5
5902,5
5903,6
5904,6
5905,5
5906,6
5907,6
5908,6
5909,5
5910,6
5911,6
5912,7
5913,6
5914,6
5915,6
5916,6
5917,6
5918,6
5919,6
5920,5
5921,5
5922,6
5923,6
5924,6
5925,6
5926,6
5927,6
5928,6
5929,5
5930,6
5931,5
5932,6
5933,5
5934,5
5935,6
5936,6
5937,5
5938,6
5939,5
5940,5
5941,6
5942,5
5943,6
5944,6
5945,6
5946,6
5947,6
5948,6
5949,6
5950,6
5951,5
5952,6
5953,6
5954,7
5955,6
5956,6
5957,6
5958,6
5959,6
5960,6
5961,5
5962,5
5963,6
5964,6
5965,5
5966,5
5967,6
5968,6
5969,6
5970,5
5971,6
5972,6
5973,6
5974,6
5975,5
5976,6
5977,6
5978,6
5979,5
5980,5
5981,6
5982,5
5983,7
5984,6
5985,5
5986,6
5987,6
5988,5
5989,5
5990,6
5991,6
5992,6
5993,5
5994,6
5995,6
5996,6
5997,6
5998,6
5999,6
6000,6
6001,6
6002,7
6003,6
6004,6
6005,6
6006,5
6007,6
6008,5
6009,7
6010,6
6011,5
6012,6
6013,6
6014,9
6015,5
6016,5
6017,5
6018,5
6019,6
6020,5
6021,6
6022,6
6023,6
6024,6
6025,6
6026,6
6027,6
6028,5
6029,6
6030,5
6031,6
6032,5
6033,5
6034,6
6035,6
6036,6
6037,6
6038,6
6039,6
6040,6
6041,6
6042,6
6043,6
6044,5
6045,5
6046,6
6047,6
6048,5
6049,5
6050,6
6051,6
6052,5
6053,6
6054,6
6055,6
6056,6
6057,6
6058,6
6059,5
6060,6
6061,6
6062,5
6063,6
6064,5
6065,5
6066,6
6067,7
6068,6
6069,6
6070,6
6071,6
6072,5
6073,5
6074,5
6075,6
6076,5
6077,6
6078,5
6079,6
6080,6
6081,6
6082,5
6083,6
6084,6
6085,6
6086,7
6087,6
6088,5
6089,5
6090,6
6091,5
6092,5
6093,6
6094,6
6095,6
6096,6
6097,5
6098,5
6099,7
6100,7
6101,6
6102,6
6103,6
6104,6
6105,6
6106,6
6107,6
6108,6
6109,6
6110,6
6111,6
6112,5
6113,5
6114,6
6115,6
6116,6
6117,5
6118,5
6119,5
6120,6
6121,6
6122,6
6123,5
6124,7
6125,6
6126,6
6127,6
6128,6
6129,6
6130,6
6131,6
6132,5
6133,5
6134,6
6135,6
6136,5
6137,6
6138,6
6139,6
6140,7
6141,5
6142,5
6143,5
6144,5
6145,6
6146,5
6147,6
6148,5
6149,5
6150,6
6151,5
6152,6
6153,6
6154,6
6155,5
6156,6
6157,6
6158,6
6159,6
6160,6
6161,6
6162,5
6163,6
6164,7
6165,7
6166,5
6167,5
6168,5
6169,5
6170,6
6171,5
6172,5
6173,6
6174,5
6175,5
6176,6
6177,6
6178,6
6179,6
6180,6
6181,6
6182,5
6183,5
6184,6
6185,5
6186,6
6187,5
6188,6
6189,5
6190,5
6191,5
6192,5
6193,6
6194,6
6195,6
6196,5
6197,6
6198,6
6199,6
6200,6
6201,6
6202,5
6203,6
6204,6
6205,6
6206,5
6207,6
6208,5
6209,5
6210,6
6211,6
6212,6
6213,6
6214,5
6215,6
6216,6
6217,6
6218,6
6219,6
6220,6
6221,5
6222,5
6223,6
6224,6
6225,6
6226,6
6227,5
6228,6
6229,6
6230,6
6231,5
6232,6
6233,5
6234,5
6235,6
6236,5
6237,6
6238,6
6239,6
6240,6
6241,6
6242,6
6243,6
6244,5
6245,6
6246,5
6247,6
6248,6
6249,6
6250,6
6251,6
6252,6
6253,6
6254,6
6255,7
6256,6
6257,6
6258,5
6259,7
6260,5
6261,5
6262,6
6263,7
6264,6
6265,6
6266,6
6267,6
6268,6
6269,6
6270,6
6271,5
6272,6
6273,5
6274,6
6275,5
6276,5
6277,7
6278,6
6279,6
6280,5
6281,5
6282,6
6283,5
6284,5
6285,5
6286,5
6287,5
6288,6
6289,6
6290,6
6291,6
6292,6
6293,6
6294,6
6295,5
6296,6
6297,6
6298,6
6299,5
6300,5
6301,5
6302,5
6303,6
6304,6
6305,6
6306,5
6307,6
6308,6
6309,5
6310,6
6311,6
6312,6
6313,6
6314,6
6315,6
6316,7
6317,6
6318,6
6319,5
6320,6
6321,5
6322,6
6323,5
6324,6
6325,6
6326,5
6327,6
6328,6
6329,6
6330,6
6331,6
6332,5
6333,5
6334,6
6335,6
6336,6
6337,5
6338,6
6339,6
6340,6
6341,5
6342,5
6343,5
6344,5
6345,5
6346,5
6347,6
6348,6
6349,7
6350,5
6351,5
6352,6
6353,6
6354,7
6355,6
6356,5
6357,6
6358,6
6359,6
6360,5
6361,6
6362,6
6363,6
6364,6
6365,5
6366,5
6367,7
6368,6
6369,6
6370,5
6371,6
6372,5
6373,5
6374,5
6375,6
6376,5
6377,6
6378,6
6379,6
6380,5
6381,6
6382,5
6383,6
6384,5
6385,6
6386,6
6387,6
6388,5
6389,5
6390,5
6391,5
6392,6
6393,5
6394,6
6395,6
6396,6
6397,5
6398,6
6399,5
6400,6
6401,5
6402,6
6403,5
6404,6
6405,6
6406,6
6407,6
6408,5
6409,6
6410,6
6411,5
6412,6
6413,5
6414,6
6415,6
6416,5
6417,6
6418,7
6419,6
6420,5
6421,5
6422,6
6423,6
6424,6
6425,5
6426,5
6427,6
6428,6
6429,6
6430,6
6431,6
6432,7
6433,5
6434,5
6435,6
6436,6
6437,7
6438,6
6439,5
6440,6
6441,6
6442,5
6443,6
6444,6
6445,5
6446,5
6447,6
6448,5
6449,5
6450,6
6451,6
6452,5
6453,6
6454,6
6455,6
6456,5
6457,6
6458,6
6459,6
6460,6
6461,6
6462,5
6463,6
6464,6
6465,6
6466,6
6467,5
6468,6
6469,5
6470,5
6471,6
6472,6
6473,6
6474,6
6475,6
6476,6
6477,6
6478,6
6479,6
6480,6
6481,6
6482,6
6483,6
6484,6
6485,6
6486,7
6487,5
6488,6
6489,6
6490,6
6491,6
6492,6
6493,6
6494,6
6495,6
6496,6
6497,6
