ID,type,location
153,white,California
154,white,California
155,white,California
156,red,California
157,white,California
158,white,California
159,white,California
160,red,Texas
161,white,California
162,white,California
163,white,Texas
164,red,California
165,white,Texas
166,red,Texas
167,white,Texas
168,white,Texas
169,white,California
170,white,California
171,white,California
172,white,Texas
173,red,Texas
174,white,Texas
175,white,California
176,white,California
177,red,Texas
178,red,California
179,white,California
180,white,California
181,white,California
182,white,California
183,white,California
184,white,California
185,white,Texas
186,red,Texas
187,white,California
188,white,California
189,red,Texas
190,white,Texas
191,white,California
192,white,California
193,white,California
194,white,Texas
195,red,Texas
196,red,Texas
197,red,Texas
198,white,Texas
199,white,California
200,red,California
201,red,Texas
202,white,California
203,white,California
204,white,California
205,white,California
206,red,Texas
207,white,Texas
208,red,Texas
209,white,California
210,white,California
211,white,California
212,white,California
213,white,California
214,white,California
215,white,California
216,white,California
217,white,California
218,red,California
219,white,California
220,white,California
221,white,Texas
222,white,California
223,red,Texas
224,red,California
225,white,California
226,white,California
227,red,California
228,red,Texas
229,white,California
230,red,Texas
231,red,California
232,red,Texas
233,white,California
234,red,Texas
235,white,California
236,white,Texas
237,white,Texas
238,white,California
239,red,Texas
240,red,Texas
241,white,Texas
242,white,California
243,red,Texas
244,white,Texas
245,white,Texas
246,red,Texas
247,white,Texas
248,white,Texas
249,white,California
250,white,California
251,,California
252,white,California
253,white,California
254,red,Texas
255,white,California
256,white,California
257,white,California
258,red,California
259,red,Texas
260,red,Texas
261,white,California
262,white,California
263,white,Texas
264,red,Texas
265,white,California
266,,Texas
267,white,California
268,white,Texas
269,red,California
270,red,Texas
271,white,California
272,white,California
273,white,California
274,white,Texas
275,red,Texas
276,white,Texas
277,white,Texas
278,white,Texas
279,white,Texas
280,white,California
281,white,California
282,red,Texas
283,white,California
284,white,California
285,red,California
286,white,California
287,white,California
288,white,California
289,white,California
290,red,Texas
291,white,Texas
292,white,California
293,white,California
294,white,California
295,red,Texas
296,white,California
297,white,California
298,white,California
299,white,Texas
300,white,California
301,red,California
302,white,California
303,red,California
304,white,California
305,white,California
306,white,Texas
307,white,Texas
308,white,California
309,red,California
310,white,California
311,red,Texas
312,white,California
313,white,Texas
314,white,California
315,white,California
316,white,California
317,white,California
318,red,Texas
319,red,Texas
320,red,Texas
321,white,Texas
322,white,California
323,white,California
324,red,Texas
325,white,California
326,white,California
327,white,California
328,white,California
329,red,Texas
330,red,Texas
331,white,California
332,red,California
333,white,Texas
334,white,California
335,white,California
336,white,California
337,white,Texas
338,white,Texas
339,white,Texas
340,red,California
341,white,Texas
342,white,California
343,white,California
344,red,California
345,white,California
346,white,California
347,white,California
348,red,Texas
349,white,Texas
350,red,Texas
351,white,California
352,white,California
353,white,Texas
354,white,California
355,white,California
356,red,California
357,white,Texas
358,white,California
359,white,California
360,white,California
361,white,Texas
362,white,California
363,white,California
364,white,California
365,white,Texas
366,white,California
367,white,Texas
368,white,California
369,white,California
370,white,California
371,white,Texas
372,white,Texas
373,white,California
374,white,California
375,red,California
376,white,California
377,white,California
378,white,Texas
379,white,California
380,white,California
381,white,California
382,white,California
383,white,Texas
384,white,Texas
385,white,California
386,white,California
387,red,California
388,white,California
389,white,California
390,white,Texas
391,white,Texas
392,white,Texas
393,white,California
394,white,California
395,red,California
396,red,California
397,red,California
398,white,California
399,red,Texas
400,white,Texas
401,red,California
402,white,California
403,,California
404,white,California
405,white,Texas
406,white,Texas
407,white,Texas
408,white,Texas
409,white,Texas
410,white,California
411,white,California
412,white,Texas
413,white,Texas
414,,Texas
415,,Texas
416,,California
417,,Texas
418,red,Texas
419,white,California
420,red,California
421,red,California
422,red,California
423,white,California
424,white,California
425,white,California
426,white,Texas
427,white,Texas
428,white,Texas
429,red,Texas
430,white,Texas
431,red,California
432,white,Texas
433,white,California
434,white,California
435,white,California
436,white,California
437,white,Texas
438,white,California
439,white,California
440,red,California
441,red,Texas
442,white,California
443,white,California
444,red,California
445,red,California
446,white,California
447,red,California
448,white,Texas
449,white,California
450,red,Texas
451,white,California
452,white,California
453,white,California
454,white,California
455,red,California
456,red,California
457,white,California
458,white,California
459,red,California
460,white,Texas
461,red,California
462,white,Texas
463,white,Texas
464,white,California
465,white,Texas
466,white,California
467,white,Texas
468,white,California
469,white,California
470,,California
471,,Texas
472,,California
473,,California
474,,Texas
475,white,Texas
476,white,California
477,white,Texas
478,red,Texas
479,red,Texas
480,white,California
481,white,California
482,white,California
483,red,California
484,white,California
485,red,Texas
486,white,Texas
487,white,California
488,white,Texas
489,red,Texas
490,white,California
491,red,Texas
492,white,Texas
493,white,California
494,white,Texas
495,red,California
496,white,Texas
497,white,California
498,red,Texas
499,red,Texas
500,white,Texas
501,red,California
502,white,California
503,red,Texas
504,white,California
505,white,California
506,white,California
507,white,Texas
508,white,California
509,white,California
510,white,California
511,white,California
512,white,California
513,white,California
514,red,California
515,white,California
516,white,California
517,white,California
518,red,Texas
519,red,Texas
520,white,Texas
521,white,California
522,white,California
523,red,California
524,white,California
525,white,California
526,red,California
527,white,Texas
528,white,Texas
529,white,California
530,white,California
531,white,California
532,red,Texas
533,,Texas
534,red,Texas
535,,Texas
536,,Texas
537,,California
538,,Texas
539,,California
540,,California
541,red,Texas
542,white,California
543,white,Texas
544,white,California
545,white,California
546,white,Texas
547,white,California
548,red,Texas
549,white,California
550,white,California
551,red,Texas
552,red,Texas
553,red,Texas
554,white,California
555,white,California
556,white,California
557,white,Texas
558,white,California
559,red,California
560,red,Texas
561,red,California
562,white,Texas
563,white,California
564,white,Texas
565,red,Texas
566,white,California
567,red,California
568,white,California
569,red,Texas
570,red,California
571,red,Texas
572,white,California
573,white,California
574,red,California
575,red,California
576,white,California
577,white,Texas
578,white,Texas
579,white,Texas
580,white,California
581,white,Texas
582,red,California
583,white,Texas
584,white,California
585,white,California
586,white,Texas
587,red,California
588,,Texas
589,,Texas
590,red,Texas
591,,California
592,,California
593,,California
594,,California
595,,California
596,white,Texas
597,red,Texas
598,red,California
599,red,Texas
600,white,California
601,white,California
602,white,Texas
603,white,Texas
604,white,Texas
605,white,California
606,white,California
607,red,Texas
608,white,California
609,white,Texas
610,white,California
611,red,Texas
612,white,California
613,red,Texas
614,white,Texas
615,white,Texas
616,red,Texas
617,white,California
618,white,Texas
619,white,California
620,white,California
621,white,California
622,red,Texas
623,white,California
624,white,California
625,white,California
626,white,California
627,white,California
628,white,California
629,white,California
630,white,California
631,white,California
632,white,Texas
633,white,California
634,red,Texas
635,white,California
636,white,Texas
637,white,Texas
638,white,California
639,white,California
640,white,Texas
641,white,Texas
642,red,California
643,white,California
644,white,California
645,white,California
646,red,Texas
647,white,California
648,white,Texas
649,white,California
650,red,California
651,white,California
652,white,California
653,white,California
654,white,California
655,red,California
656,white,Texas
657,white,California
658,red,Texas
659,white,Texas
660,,Texas
661,,Texas
662,,Texas
663,,California
664,,Texas
665,,Texas
666,,California
667,white,Texas
668,white,California
669,white,California
670,red,Texas
671,white,Texas
672,white,California
673,red,Texas
674,red,California
675,red,California
676,white,California
677,white,California
678,white,California
679,white,California
680,white,California
681,white,California
682,white,California
683,red,California
684,red,Texas
685,white,California
686,white,California
687,white,California
688,red,California
689,white,California
690,white,Texas
691,white,Texas
692,white,California
693,red,California
694,white,California
695,white,Texas
696,white,California
697,red,California
698,white,Texas
699,white,Texas
700,white,Texas
701,white,California
702,white,California
703,white,Texas
704,white,Texas
705,white,California
706,red,Texas
707,,Texas
708,,California
709,,Texas
710,,Texas
711,,California
712,white,California
713,red,California
714,white,California
715,white,California
716,white,California
717,white,California
718,white,Texas
719,white,California
720,red,Texas
721,white,Texas
722,white,California
723,white,California
724,white,California
725,white,California
726,red,California
727,white,Texas
728,white,California
729,white,California
730,white,Texas
731,red,Texas
732,red,Texas
733,white,California
734,white,Texas
735,white,California
736,white,California
737,red,Texas
738,white,Texas
739,white,California
740,red,California
741,white,California
742,red,California
743,white,Texas
744,white,Texas
745,white,California
746,white,California
747,white,California
748,white,California
749,white,California
750,white,Texas
751,white,California
752,white,California
753,white,California
754,white,California
755,white,Texas
756,,California
757,,California
758,,California
759,,Texas
760,white,Texas
761,white,California
762,red,California
763,red,California
764,white,California
765,white,California
766,white,California
767,white,Texas
768,white,California
769,white,California
770,red,Texas
771,red,California
772,white,California
773,red,Texas
774,white,California
775,white,Texas
776,white,Texas
777,white,California
778,red,California
779,white,Texas
780,white,California
781,white,Texas
782,red,Texas
783,red,Texas
784,white,California
785,red,Texas
786,white,California
787,white,Texas
788,white,California
789,white,California
790,white,Texas
791,white,California
792,white,California
793,red,Texas
794,white,Texas
795,white,California
796,white,Texas
797,white,California
798,white,California
799,red,Texas
800,white,Texas
801,white,Texas
802,white,Texas
803,white,California
804,white,California
805,red,Texas
806,white,California
807,white,California
808,red,California
809,,California
810,,Texas
811,,California
812,,Texas
813,,Texas
814,,California
815,red,Texas
816,red,California
817,red,Texas
818,white,California
819,white,California
820,red,Texas
821,white,California
822,red,Texas
823,white,Texas
824,white,California
825,white,California
826,white,California
827,white,California
828,red,California
829,red,Texas
830,red,Texas
831,red,California
832,red,California
833,white,California
834,white,California
835,,California
836,,Texas
837,,Texas
838,,California
839,,California
840,,California
841,,California
842,red,California
843,white,California
844,red,California
845,white,California
846,red,California
847,white,California
848,white,California
849,white,California
850,red,Texas
851,white,California
852,red,California
853,white,Texas
854,white,California
855,white,California
856,white,California
857,white,California
858,white,Texas
859,white,California
860,white,California
861,white,California
862,white,Texas
863,,Texas
864,,California
865,,California
866,,California
867,,Texas
868,,Texas
869,,Texas
870,red,California
871,white,Texas
872,red,Texas
873,white,Texas
874,white,California
875,red,California
876,white,California
877,white,Texas
878,white,California
879,white,Texas
880,white,California
881,white,California
882,white,California
883,white,California
884,white,California
885,white,California
886,white,California
887,white,California
888,red,Texas
889,red,Texas
890,white,California
891,red,California
892,red,Texas
893,white,California
894,white,California
895,white,Texas
896,white,California
897,white,Texas
898,white,Texas
899,white,Texas
900,red,Texas
901,white,California
902,red,Texas
903,red,Texas
904,white,Texas
905,red,California
906,white,California
907,white,California
908,white,California
909,white,California
910,white,California
911,white,Texas
912,white,Texas
913,white,California
914,,California
915,,California
916,,Texas
917,white,Texas
918,white,California
919,white,California
920,red,California
921,white,California
922,red,California
923,white,Texas
924,white,California
925,white,California
926,red,California
927,white,Texas
928,white,California
929,white,Texas
930,white,California
931,white,Texas
932,white,California
933,white,Texas
934,white,California
935,red,California
936,red,Texas
937,red,Texas
938,red,California
939,white,California
940,white,California
941,red,California
942,white,California
943,red,Texas
944,white,Texas
945,red,Texas
946,white,California
947,white,California
948,white,California
949,white,California
950,white,California
951,white,California
952,white,Texas
953,white,Texas
954,white,California
955,white,California
956,red,Texas
957,white,California
958,white,Texas
959,white,California
960,white,California
961,white,Texas
962,white,California
963,red,California
964,white,Texas
965,white,Texas
966,white,California
967,white,Texas
968,white,California
969,white,Texas
970,white,Texas
971,red,California
972,white,California
973,red,Texas
974,white,California
975,white,California
976,red,California
977,white,Texas
978,white,California
979,white,California
980,white,California
981,white,California
982,white,California
983,red,Texas
984,red,California
985,white,Texas
986,white,California
987,white,California
988,white,California
989,white,California
990,white,Texas
991,white,Texas
992,white,California
993,red,Texas
994,white,Texas
995,white,California
996,white,California
997,white,Texas
998,red,Texas
999,white,California
1000,white,California
1001,white,California
1002,white,Texas
1003,red,Texas
1004,white,Texas
1005,white,California
1006,red,California
1007,white,Texas
1008,white,California
1009,white,California
1010,white,Texas
1011,white,Texas
1012,white,Texas
1013,red,Texas
1014,white,California
1015,red,Texas
1016,red,California
1017,white,Texas
1018,white,California
1019,white,California
1020,white,California
1021,red,Texas
1022,red,Texas
1023,white,California
1024,white,Texas
1025,white,California
1026,white,California
1027,red,Texas
1028,red,Texas
1029,white,California
1030,red,Texas
1031,red,California
1032,white,California
1033,white,Texas
1034,white,California
1035,white,Texas
1036,white,California
1037,white,California
1038,white,Texas
1039,white,Texas
1040,white,Texas
1041,white,Texas
1042,white,California
1043,white,California
1044,white,California
1045,white,Texas
1046,white,Texas
1047,white,California
1048,white,Texas
1049,white,California
1050,white,California
1051,red,California
1052,red,California
1053,white,California
1054,white,Texas
1055,red,Texas
1056,red,Texas
1057,white,California
1058,white,California
1059,white,California
1060,white,Texas
1061,white,Texas
1062,white,California
1063,white,Texas
1064,red,Texas
1065,white,California
1066,white,California
1067,white,California
1068,red,California
1069,white,California
1070,red,California
1071,white,California
1072,white,Texas
1073,white,California
1074,white,Texas
1075,white,California
1076,white,California
1077,white,Texas
1078,white,California
1079,white,California
1080,red,Texas
1081,red,California
1082,white,Texas
1083,white,California
1084,white,California
1085,white,California
1086,white,California
1087,white,California
1088,white,California
1089,white,Texas
1090,white,California
1091,white,Texas
1092,white,California
1093,red,California
1094,red,California
1095,red,California
1096,white,California
1097,white,California
1098,white,California
1099,white,California
1100,white,California
1101,white,California
1102,red,California
1103,red,California
1104,white,Texas
1105,white,California
1106,white,California
1107,white,California
1108,white,California
1109,red,California
1110,white,California
1111,red,Texas
1112,white,California
1113,white,Texas
1114,white,Texas
1115,white,California
1116,red,California
1117,white,California
1118,white,California
1119,red,Texas
1120,white,California
1121,white,California
1122,white,California
1123,white,California
1124,red,Texas
1125,white,California
1126,white,California
1127,white,California
1128,white,California
1129,red,Texas
1130,white,California
1131,white,California
1132,white,California
1133,white,California
1134,white,California
1135,red,Texas
1136,white,California
1137,white,Texas
1138,white,Texas
1139,red,California
1140,white,California
1141,white,California
1142,white,California
1143,white,Texas
1144,red,California
1145,white,California
1146,white,California
1147,red,Texas
1148,white,California
1149,white,California
1150,red,California
1151,white,Texas
1152,red,Texas
1153,white,California
1154,white,California
1155,white,Texas
1156,white,California
1157,red,Texas
1158,white,California
1159,red,California
1160,white,California
1161,white,California
1162,white,Texas
1163,white,California
1164,white,California
1165,white,California
1166,white,California
1167,white,California
1168,white,California
1169,white,California
1170,white,California
1171,white,California
1172,white,California
1173,white,California
1174,red,Texas
1175,white,California
1176,white,California
1177,white,Texas
1178,white,Texas
1179,white,California
1180,white,California
1181,white,California
1182,white,California
1183,white,California
1184,red,California
1185,white,Texas
1186,white,Texas
1187,white,California
1188,white,California
1189,white,Texas
1190,white,California
1191,red,California
1192,white,California
1193,white,California
1194,red,Texas
1195,white,Texas
1196,white,Texas
1197,white,California
1198,red,Texas
1199,red,Texas
1200,white,Texas
1201,red,California
1202,white,California
1203,white,Texas
1204,white,Texas
1205,white,California
1206,white,Texas
1207,,California
1208,,California
1209,,California
1210,,California
1211,red,California
1212,white,Texas
1213,white,Texas
1214,white,Texas
1215,red,Texas
1216,white,California
1217,white,Texas
1218,white,California
1219,white,California
1220,white,Texas
1221,white,Texas
1222,white,California
1223,red,California
1224,white,California
1225,white,Texas
1226,white,California
1227,red,California
1228,white,Texas
1229,red,Texas
1230,white,California
1231,white,California
1232,white,California
1233,red,California
1234,white,California
1235,white,Texas
1236,red,Texas
1237,white,California
1238,white,California
1239,white,Texas
1240,white,California
1241,white,California
1242,white,California
1243,white,California
1244,white,California
1245,white,California
1246,white,California
1247,white,Texas
1248,white,Texas
1249,white,California
1250,white,California
1251,red,California
1252,white,Texas
1253,white,California
1254,white,California
1255,white,California
1256,white,Texas
1257,white,California
1258,red,California
1259,white,California
1260,white,California
1261,white,California
1262,white,California
1263,white,Texas
1264,white,Texas
1265,white,California
1266,white,California
1267,red,California
1268,white,California
1269,white,California
1270,white,California
1271,white,California
1272,red,Texas
1273,white,Texas
1274,white,California
1275,white,California
1276,white,Texas
1277,white,Texas
1278,white,California
1279,white,California
1280,white,California
1281,white,California
1282,white,California
1283,white,California
1284,white,California
1285,red,Texas
1286,white,California
1287,white,California
1288,red,Texas
1289,white,Texas
1290,white,Texas
1291,white,Texas
1292,white,Texas
1293,white,Texas
1294,white,California
1295,white,Texas
1296,white,Texas
1297,red,Texas
1298,red,California
1299,white,California
1300,white,Texas
1301,white,California
1302,white,California
1303,white,California
1304,white,Texas
1305,white,California
1306,red,Texas
1307,white,California
1308,white,California
1309,white,California
1310,white,California
1311,white,California
1312,white,California
1313,white,California
1314,white,California
1315,white,California
1316,white,Texas
1317,white,Texas
1318,white,California
1319,white,Texas
1320,,California
1321,,California
1322,,Texas
1323,,California
1324,white,Texas
1325,white,California
1326,white,California
1327,red,Texas
1328,red,Texas
1329,white,Texas
1330,white,Texas
1331,red,Texas
1332,white,California
1333,white,Texas
1334,red,California
1335,white,Texas
1336,white,California
1337,white,California
1338,white,California
1339,white,California
1340,white,California
1341,white,California
1342,red,California
1343,white,Texas
1344,red,Texas
1345,white,California
1346,white,California
1347,white,Texas
1348,white,California
1349,white,Texas
1350,red,Texas
1351,red,Texas
1352,white,California
1353,white,California
1354,white,California
1355,white,Texas
1356,white,California
1357,red,California
1358,white,California
1359,white,California
1360,white,Texas
1361,white,California
1362,white,California
1363,white,Texas
1364,white,California
1365,white,California
1366,red,California
1367,white,California
1368,white,Texas
1369,white,California
1370,white,Texas
1371,white,Texas
1372,white,Texas
1373,red,California
1374,white,California
1375,white,California
1376,red,Texas
1377,red,Texas
1378,red,California
1379,white,Texas
1380,white,California
1381,red,California
1382,red,Texas
1383,red,Texas
1384,white,California
1385,red,Texas
1386,white,California
1387,white,California
1388,white,Texas
1389,white,California
1390,white,California
1391,white,California
1392,red,California
1393,white,California
1394,red,Texas
1395,red,Texas
1396,white,California
1397,white,California
1398,white,Texas
1399,white,California
1400,white,California
1401,white,California
1402,white,Texas
1403,white,Texas
1404,white,California
1405,red,California
1406,red,Texas
1407,red,Texas
1408,red,California
1409,white,California
1410,red,Texas
1411,red,California
1412,white,Texas
1413,white,Texas
1414,white,California
1415,red,Texas
1416,red,California
1417,white,California
1418,white,California
1419,white,Texas
1420,white,California
1421,white,California
1422,white,California
1423,red,California
1424,white,California
1425,white,California
1426,white,Texas
1427,white,California
1428,red,California
1429,red,Texas
1430,white,Texas
1431,white,California
1432,white,Texas
1433,white,California
1434,white,California
1435,white,California
1436,red,California
1437,white,California
1438,white,California
1439,white,California
1440,white,California
1441,red,California
1442,white,California
1443,white,California
1444,white,California
1445,white,California
1446,white,California
1447,,Texas
1448,,California
1449,,Texas
1450,,California
1451,,California
1452,,Texas
1453,red,Texas
1454,white,California
1455,white,California
1456,white,California
1457,red,California
1458,white,California
1459,white,Texas
1460,red,Texas
1461,white,California
1462,white,Texas
1463,red,Texas
1464,white,California
1465,white,California
1466,white,California
1467,white,California
1468,red,California
1469,white,California
1470,white,Texas
1471,white,California
1472,white,Texas
1473,white,Texas
1474,white,California
1475,white,California
1476,white,Texas
1477,red,California
1478,white,California
1479,white,Texas
1480,white,California
1481,white,California
1482,white,California
1483,white,California
1484,red,Texas
1485,red,California
1486,white,Texas
1487,red,California
1488,red,Texas
1489,white,California
1490,white,Texas
1491,white,Texas
1492,white,California
1493,white,California
1494,white,Texas
1495,white,California
1496,white,California
1497,red,California
1498,red,Texas
1499,white,Texas
1500,white,California
1501,white,California
1502,white,Texas
1503,white,California
1504,red,California
1505,white,California
1506,white,California
1507,red,Texas
1508,white,Texas
1509,red,Texas
1510,red,California
1511,white,Texas
1512,white,Texas
1513,white,California
1514,white,Texas
1515,white,California
1516,white,Texas
1517,white,California
1518,red,Texas
1519,red,Texas
1520,white,California
1521,red,Texas
1522,red,California
1523,white,Texas
1524,white,Texas
1525,red,Texas
1526,red,Texas
1527,white,California
1528,white,California
1529,white,Texas
1530,white,California
1531,red,California
1532,white,California
1533,white,Texas
1534,white,California
1535,white,California
1536,white,California
1537,white,Texas
1538,white,California
1539,red,Texas
1540,white,California
1541,white,California
1542,red,Texas
1543,red,California
1544,red,California
1545,white,California
1546,white,Texas
1547,white,Texas
1548,white,California
1549,white,California
1550,white,California
1551,white,Texas
1552,red,Texas
1553,red,Texas
1554,red,Texas
1555,white,Texas
1556,white,California
1557,red,California
1558,white,Texas
1559,white,Texas
1560,white,Texas
1561,white,California
1562,red,Texas
1563,white,Texas
1564,white,Texas
1565,white,California
1566,white,California
1567,white,California
1568,red,Texas
1569,white,California
1570,red,Texas
1571,white,California
1572,white,California
1573,white,California
1574,white,Texas
1575,red,California
1576,white,California
1577,red,Texas
1578,white,California
1579,white,California
1580,white,California
1581,white,California
1582,white,Texas
1583,white,California
1584,white,Texas
1585,red,Texas
1586,white,California
1587,white,Texas
1588,white,California
1589,white,California
1590,white,Texas
1591,white,California
1592,white,Texas
1593,white,California
1594,red,California
1595,white,California
1596,white,California
1597,white,California
1598,white,Texas
1599,white,Texas
1600,red,Texas
1601,red,California
1602,red,California
1603,white,California
1604,white,Texas
1605,white,Texas
1606,white,Texas
1607,white,California
1608,red,Texas
1609,red,California
1610,white,Texas
1611,white,Texas
1612,white,California
1613,white,California
1614,red,Texas
1615,white,California
1616,white,California
1617,white,California
1618,white,California
1619,red,California
1620,white,Texas
1621,red,California
1622,red,Texas
1623,red,California
1624,red,California
1625,red,California
1626,white,California
1627,white,California
1628,red,Texas
1629,white,California
1630,white,California
1631,white,Texas
1632,red,California
1633,white,California
1634,red,Texas
1635,red,Texas
1636,white,California
1637,white,Texas
1638,red,Texas
1639,red,California
1640,white,California
1641,white,Texas
1642,red,California
1643,white,California
1644,red,California
1645,red,Texas
1646,white,Texas
1647,red,Texas
1648,white,California
1649,white,California
1650,red,California
1651,white,California
1652,red,California
1653,red,Texas
1654,white,Texas
1655,white,California
1656,white,California
1657,red,California
1658,white,California
1659,white,Texas
1660,white,California
1661,white,California
1662,white,California
1663,white,California
1664,white,California
1665,red,California
1666,white,California
1667,white,Texas
1668,red,Texas
1669,white,California
1670,white,Texas
1671,white,California
1672,white,California
1673,red,California
1674,white,California
1675,red,Texas
1676,white,Texas
1677,white,California
1678,white,Texas
1679,red,California
1680,white,Texas
1681,white,Texas
1682,white,Texas
1683,white,Texas
1684,red,California
1685,white,California
1686,red,California
1687,white,California
1688,white,California
1689,white,Texas
1690,red,Texas
1691,white,California
1692,white,California
1693,white,California
1694,red,California
1695,white,California
1696,white,Texas
1697,white,California
1698,white,Texas
1699,white,California
1700,white,California
1701,white,California
1702,white,California
1703,white,Texas
1704,white,Texas
1705,white,California
1706,white,California
1707,white,California
1708,red,California
1709,white,Texas
1710,white,California
1711,white,California
1712,white,California
1713,red,Texas
1714,white,Texas
1715,white,Texas
1716,red,Texas
1717,white,California
1718,white,California
1719,red,California
1720,white,California
1721,red,Texas
1722,white,California
1723,white,California
1724,white,California
1725,white,California
1726,white,California
1727,white,Texas
1728,white,California
1729,white,Texas
1730,white,California
1731,white,California
1732,white,Texas
1733,white,California
1734,white,California
1735,white,California
1736,white,Texas
1737,white,California
1738,white,California
1739,red,Texas
1740,white,California
1741,white,California
1742,white,Texas
1743,red,California
1744,white,Texas
1745,white,Texas
1746,white,Texas
1747,red,Texas
1748,white,Texas
1749,red,Texas
1750,white,Texas
1751,white,California
1752,red,California
1753,red,Texas
1754,white,California
1755,white,Texas
1756,white,California
1757,red,Texas
1758,red,Texas
1759,white,California
1760,white,Texas
1761,white,Texas
1762,white,California
1763,white,Texas
1764,red,California
1765,white,California
1766,white,California
1767,red,Texas
1768,white,Texas
1769,white,California
1770,white,Texas
1771,red,Texas
1772,white,Texas
1773,white,California
1774,red,California
1775,white,California
1776,red,California
1777,red,Texas
1778,white,Texas
1779,white,California
1780,white,Texas
1781,red,California
1782,white,California
1783,red,California
1784,white,California
1785,white,Texas
1786,red,Texas
1787,white,California
1788,white,California
1789,white,California
1790,white,California
1791,white,California
1792,white,California
1793,white,Texas
1794,red,California
1795,white,Texas
1796,white,California
1797,white,Texas
1798,red,Texas
1799,white,Texas
1800,white,California
1801,white,Texas
1802,white,Texas
1803,white,Texas
1804,white,California
1805,white,Texas
1806,white,California
1807,white,Texas
1808,white,California
1809,white,California
1810,white,California
1811,red,California
1812,red,Texas
1813,red,Texas
1814,red,Texas
1815,white,California
1816,white,California
1817,red,Texas
1818,white,Texas
1819,white,California
1820,white,Texas
1821,white,Texas
1822,red,Texas
1823,white,Texas
1824,red,Texas
1825,white,California
1826,white,California
1827,white,California
1828,white,California
1829,white,California
1830,white,California
1831,white,California
1832,white,California
1833,white,California
1834,red,California
1835,white,California
1836,red,Texas
1837,red,California
1838,white,California
1839,white,California
1840,white,California
1841,white,California
1842,white,California
1843,red,California
1844,white,California
1845,white,California
1846,white,California
1847,red,California
1848,red,Texas
1849,white,California
1850,white,California
1851,red,Texas
1852,white,California
1853,red,Texas
1854,white,California
1855,white,Texas
1856,red,California
1857,white,Texas
1858,white,California
1859,white,Texas
1860,white,Texas
1861,white,California
1862,white,California
1863,white,California
1864,white,California
1865,white,California
1866,white,Texas
1867,white,California
1868,red,California
1869,white,California
1870,red,California
1871,white,California
1872,white,California
1873,white,California
1874,white,Texas
1875,white,California
1876,red,Texas
1877,white,California
1878,white,California
1879,red,California
1880,red,Texas
1881,red,Texas
1882,white,California
1883,white,California
1884,red,California
1885,white,California
1886,red,Texas
1887,white,California
1888,white,California
1889,white,California
1890,white,California
1891,white,California
1892,white,Texas
1893,white,California
1894,red,Texas
1895,white,Texas
1896,white,Texas
1897,red,Texas
1898,white,California
1899,white,California
1900,white,California
1901,red,California
1902,white,California
1903,white,California
1904,white,California
1905,white,California
1906,white,California
1907,white,Texas
1908,white,California
1909,red,California
1910,white,California
1911,white,California
1912,white,California
1913,white,California
1914,white,Texas
1915,red,Texas
1916,white,California
1917,white,California
1918,white,Texas
1919,white,California
1920,white,California
1921,red,California
1922,white,California
1923,white,California
1924,red,Texas
1925,white,California
1926,white,California
1927,white,Texas
1928,red,California
1929,red,California
1930,white,California
1931,red,Texas
1932,white,California
1933,red,California
1934,white,Texas
1935,red,Texas
1936,white,California
1937,white,California
1938,white,California
1939,red,California
1940,white,California
1941,white,California
1942,white,California
1943,white,California
1944,white,California
1945,white,Texas
1946,white,California
